typification	typificationLabel
Q193262	604bcdc7-8f22-4150-97db-63a288c72de6: isotype of Pachystachys killipii Wassh.
Q193263	6051571: isotype of Loricalepis atlantica Amorim, Michelang. & R.Goldenb.
Q193264	6051573: isotype of Meriania baumgratziana R.Goldenb. & Michelang.
Q193245	6043466: holotype of Borreria reflexa J.H.Kirkbr.
Q193246	6043467: isotype of Myrcia landimiana Proença & M.Ibrahim
Q193247	6043480: isotype of Eugenia tephrogyna Sobral & Proença
Q193248	6043547: holotype of Pleonotoma longiflora B.M.Gomes & Proença
Q193249	6043754: isotype of Chamaecrista rupertiana M.Cota & Rando
Q193250	6043756: isotype of Chamaecrista herpestia M.Cota & Mello-Silva
Q193251	6043764: isotype of Eriope harleyi Schliewe, H.D.Ferreira, Graciano-Ribeiro & M.H.Rezende
Q193252	6043892: isotype of Kielmeyera colibri R.J.Trad
Q193253	6043902: isotype of Chamaecrista barnebyana R.G.Matos & M.J.Silva
Q193254	6043908: holotype of Paepalanthus fabianeae Andrino & Sano
Q193275	6061619: isotype of Dichorisandra forzzae M.Pell. & Q.S.Moraes
Q193276	60655068-ce41-432c-9940-55c8848bf03f: isotype of Eucalyptus arenicola Rule
Q193277	6065ffca-cec2-4dda-8252-09a0bafea2cf: isotype of Frasera ackermaniae C.C.Newb. & Goodrich
Q193278	6067099: holotype of Philodendron theofiloanum Calazans
Q193279	606a78bd-9709-4e5e-a81b-25e48a874ac6: holotype of Miconia cordierorum Ionta & Judd
Q193280	606c1d80-0335-498a-adca-fdcb68891616: holotype of Senecio phelleus I.Thomps.
Q193281	607531570: isotype of Jasminum cuneatum Jongkind
Q193282	6078fabf-94ab-4f9e-99c0-d5c9cfaf93ef: isotype of Eucalyptus annettae D.Nicolle & M.E.French
Q193283	607aed6e-c855-474f-b493-e9d13354af3a: isotype of Ruprechtia brachysepala Meisn.
Q193284	607cb766-8b56-45e0-a249-928e39c2dd5d: isotype of Kalanchoe hypseloleuce Friis & M.G.Gilbert
Q193265	6055220: holotype of Polybotrya matosii Canestraro & Labiak
Q193266	6055836: isotype of Passiflora hatschbachii Cervi
Q193267	6056181: holotype of Syagrus carvalhoi B.F.Sant'Anna-Santos
Q193268	6056182: isotype of Syagrus aristeae B.F.Sant'Anna-Santos
Q193269	6057074: isotype of Pabstiella calimanii Toscano & Luer
Q193270	605a3e2c6968398c5929b8084e053ed0: isotype of Lamourouxia paneroi B.L.Turner
Q193271	605cb128-e5dc-409c-a3fb-05377f700b22: isotype of Cremastopus rostratus Paul G.Wilson
Q193272	605d88d3-b116-4b7f-b1e2-9e76463d7f8e: holotype of Panicum paucispicatum Morong
Q193273	605f4b54-920f-48ad-84f5-0d7ac900b716: isotype of Scheelea plowmanii Glassman
Q193274	6061045: holotype of Oleandra australis Schwartsb. & J.Prado
Q193285	6081b339-1395-4753-96bb-339825a0a037: isotype of Goodenia heterotricha M.D.Barrett & R.L.Barrett
Q193286	60823472-2b21-472b-89a3-2a513b109b3b: isotype of Mimosa lanuginosa Glaz. ex Burkart
Q193287	60867b0b6e5ca4cfd0bc193dbab3ddb5: holotype of Zinnia acerosa var. guanajuatensis Calderón & Rzed.
Q193288	6087ebed-6915-4ea3-97d2-24e13716e1a7: isotype of Gundlachia ocoana Urb. & Ekman
Q193289	608a25da-28d4-4670-ad62-0c7d42e9b464: isotype of Cladotrichium rubicundum Vogel
Q193290	609291a9-2a8c-4395-8593-7fa037eba950: holotype of Eucalyptus purpurata D.Nicolle
Q193291	6097a409-b679-44b5-8cea-c76bdfb18504: isotype of Mentzelia filifolia J.J.Schenk & L.Hufford
Q193292	609a75e9-f8e1-4d32-b36e-28d313f07046: holotype of Indigofera gilesii Peter G.Wilson & Rowe
Q193293	609d7787-09a9-4f9e-9ed1-35ebe8fef066: holotype of Coreopsis dilloniana Sánchez Vega, Sagást. & D.J.Crawford
Q193294	60AECB9B-5CA2-4F53-B999-07390F7AF5F6: isotype of Olearia crebra E.K.Cameron & Heenan
Q193295	60F4FBBB-D653-4FD7-9D7C-B0E364FEB9A7: holotype of Habenaria zothecina L.C.Higgins & S.L.Welsh
Q193296	60FDE447-5FCC-46FC-BEA1-000EFC2C71A5: holotype of Hieracium flocciprenanthoides Mateo, Egido & Gómiz
Q193297	60aab4e6-3377-4f99-a277-5b6f1cd38e53: isotype of Poa cusickii Vasey
Q193298	60ae9273-2eec-40e9-80c5-ae039fd3907e: isotype of Chrysopsis caudata Rydb.
Q193299	60b139ccc6979c94a2cc2907b320b6ed: lectotype of Heliotropium michoacanum I.M.Johnst.
Q193300	60b220d9-0cd3-42dd-87ec-50c6ae95c6ac: isotype of Henriettea sierrae Carmenate & Bécquer
Q193301	60b61c19-3ecb-4d59-9932-b662bf2b0d3f: holotype of Carex viridistellata Derieg, Reznicek & Bruederle
Q193302	60b72d8c-7a98-4abd-ad38-a14ed4398596: isotype of Gayophytum ramosissimum Torr. & A.Gray
Q193303	60b75051-df39-4131-8438-3630d95e9e02: isotype of Mimosa caliciadenia Barneby
Q193304	60bb16f6-6366-4c65-be6b-bce635f65a77: holotype of Eutaxia nanophylla Chappill & C.F.Wilkins
Q193305	60c237de-fbba-4aab-8bca-a2e127252ff8: isotype of Erigeron chiangii var. lamprocaulis G.L.Nesom
Q193306	60c3c75c8376374b0d0543e80f223835: isotype of Dichaea obovatipetala Folsom
Q193307	60c48bdc-ed0d-4a3a-b0fa-99f9afe76fbb: holotype of Leucopogon altissimus Hislop
Q193308	60c684a4-2188-4732-9fda-b9893538e82a: holotype of Solanum baezense Ochoa
Q193309	60cbd239-37b4-4aa2-aad3-f2bd5379570b: isotype of Eremophila simulans subsp. lapidensis Chinnock
Q193310	60cbfefd-8f88-4809-aa8c-697da270e1a9: holotype of Thelypteris stolzeana A.R.Sm.
Q193311	60cc7bfb-c7e5-4bfc-9ea3-9a90306813cc: isotype of Hullsia argillicola P.S.Short
Q193312	60cd6953-5bf9-4cba-acfa-504c75b191ee: holotype of Clusia celiae Maguire
Q193313	60ce870b-4039-4edb-93d3-53cb540974d3: holotype of Pileanthus bellus Keighery
Q193314	60cfa17f-d893-4729-995b-b799ddedaaeb: holotype of Stanhopea nicaraguensis G.Gerlach
Q193315	60d02286-c259-4373-9751-2ac4f88b33c5: lectotype of Polygonum hartwrightii A.Gray
Q193316	60d76dc6-bd29-4942-a617-3f941636cca2: isotype of Raputia megalantha Kallunki
Q193317	60d8a1c79cf3ecc004a176cca2d4aa9e: holotype of Samolus ebracteatus var. coahuilensis Henrickson
Q193318	60e4dfdc-b2fd-4ef9-bdcf-b0b0f97cb670: isotype of Ouratea javariensis Sastre
Q193319	60eb4d98-0afc-4d67-8aaf-780129ddc7a6: holotype of Guarea arcuata Coronado
Q193320	60ed8b37-2dd2-4482-bec2-ea10449b34de: isotype of Cobaea flava Prather
Q193321	60f200c2-0eb7-481f-9f44-432f88bd76d8: holotype of Isopogon panduratus subsp. palustris Hislop & Rye
Q193322	60f4f273-71bf-4b2f-9fdc-8544714fd0b5: isotype of Lipochaeta exigua O.Deg. & Sherff
Q193323	60f96198-0f83-4255-aa7a-b63d0b6a10b7: isotype of Swainsona thompsoniana R.W.Davis & P.J.H.Hurter
Q193324	6106e56b-e3a1-4973-9456-2f89e6a84adb: isotype of Croton alabamensis var. texensis Ginzbarg
Q193325	61086d79-0678-4c44-b096-4783152942d7: isotype of Philodendron clewellii Croat
Q193326	610ec3e3-17b0-4af3-8388-ee101485ed2a: holotype of Trichipteris flava R.M.Tryon
Q193327	61107ba8-301a-471a-a6f4-a990f673a4d9: isotype of Thelymitra albiflora Jeanes
Q193328	6114879c-9994-4275-9ee9-ca38ae0d999e: holotype of Cibotarium macropetalum Rollins
Q193329	611b8095-5ffa-4301-813f-08c2c995fdff: holotype of Prasophyllum catenemum D.L.Jones
Q193330	611d854d-c2e9-450e-9f75-ae8cb6efba85: holotype of Stevensia minutifolia Alain
Q193331	611db696-b718-4ff3-9942-b4851fc02c18: isotype of Sciodaphyllum zunacense M.M.Mora, Lowry, G.M.Plunkett & D.A.Neill
Q193332	611e1e97-ab42-4d83-a229-2f3ae0dad70f: holotype of Cyanea maritae Lammers & H.Oppenh.
Q193333	611f22e3-61c9-41f9-8648-72f4789102c2: isotype of Mimosa acroconica Barneby
Q193334	612181a5-d5c4-4fdb-ab1f-0b4b329764e5: isotype of Calothamnus cupularis A.S.George
Q193335	61226ce5-76c4-458b-a697-66ca6d37a7db: isotype of Leuconotis floribunda Leeuwenb.
Q193336	6125970f-373b-402d-b4ff-bf74746c7873: holotype of Petrea martiana var. glabrescens Moldenke
Q193337	61269552-F7A4-426C-8FCA-4170FBDE51C4: holotype of Hieracium aguilellae Mateo
Q193338	6126c95b-349f-458f-8b92-8ddbd8b79cb5: isotype of Jacksonia nutans Chappill
Q193339	61299a22-9e4b-4792-82d2-a9b296334c13: isotype of Jacquinia dichotoma Urb.
Q193340	612c1eb5b89af0b8203da0be5f51c8b2: isotype of Hesperaloe campanulata G.D.Starr
Q193341	6130694a-38d7-4f69-ad28-e3f127420ca4: isotype of Kohleria baezana Cuatrec.
Q193342	61307c73-3822-4484-a7af-2284460fdb12: isotype of Eucalyptus aridimontana D.Nicolle & M.E.French
Q193343	4aed1e75-ee6c-466b-9797-58c60d1ebff4: isotype of Pultenaea indira Orthia & Crisp
Q193344	4aedcca1-969d-453e-a491-25c04f0f717f: holotype of Cassia orbiculata var. ustulata H.S.Irwin & Barneby
Q193345	4aee9cc4-e791-4fce-9eca-9ccecdc92c9e: isotype of Dracontium angustispathum G.H.Zhu & Croat
Q193346	4af19991-e3d7-43a8-8e8e-eaa9b01b62d8: isotype of Leucopogon corymbiformis Hislop
Q193347	4af4e74c-1df7-41c9-843e-f3431ad90466: isotype of Oxalis cardenasiana Lourteig
Q193348	4af51ed5-1da1-4eee-aad5-17259d16f27d: isotype of Valeriana chiapensis Barrie
Q193349	4afc6172-33ee-4941-aa4c-6a0a93ae7c46: holotype of Jacksonia acicularis Chappill
Q193350	4afd3398-0ef6-44d7-95ae-08fb60d1fbb5: holotype of Corybas dowlingii D.L.Jones
Q193351	4b0858f7-6abb-4298-8023-cb4cd36eb5d1: isotype of Stephanopodium gracile Fiaschi & Amorim
Q193352	4b09d649-7470-44f7-b710-61eca59dff15: holotype of Senecio euclaensis I.Thomps.
Q193353	4b110844-2d9b-4bb4-8727-be3cb6298e90: isotype of Lasiopetalum adenotrichum R.A.Meissn. & Rathbone
Q193354	4b12275c-a371-4464-b019-7a80dda3894c: holotype of Boronia marcoana R.L.Barrett & M.D.Barrett
Q193355	4b13273fd7ddd8ff13e4ac602b00fe01: holotype of Melampodium northingtonii B.L.Turner
Q193356	4b28eb48-eb69-4345-9d55-d13474afca38: lectotype of Psychotria costivenia Griseb.
Q193357	4b2e7c98-ff39-4885-b1ff-c9b8892482b9: isotype of Wedelia tegetis Strother
Q193358	4b2f73f7-99ac-4594-99c2-b0d280599e94: holotype of Dielsiodoxa propullulans Albr.
Q193359	4b357bc8-0d09-4086-95d9-1b55905a411f: isotype of Eragrostis jacobsiana B.K.Simon
Q193360	4b3ae175-0d18-4de2-81d2-11855a0c1a9a: isotype of Couepia janzenii D.Santam. & Lagom.
Q193361	4b4ae019eda964622a1d6ea439fef7fd: holotype of Petrea algentryi Moldenke
Q193362	4b4c9a85b0cfcdc91678048ef77fbece: holotype of Castilleja chlorosceptron G.L.Nesom
Q193363	4b4ca6d1-5068-4168-90f9-d950a46ac366: isotype of Gompholobium glabristylum C.F.Wilkins & Sandiford
Q193364	4b4cd039-0755-4563-ba75-0ef6c8bf2f4f: isotype of Leandra heteroporata Reginato
Q193365	4b4e24c0-e921-4686-83a0-037616d56b44: isotype of Muelleranthus obovatus I.Thomps.
Q193366	4b50d32e-d523-4edf-a1c2-2d88c77d00fd: neotype of Lepanthes oreocharis Schltr.
Q193367	4b51d850-6882-483d-bbc2-4259ecd360a2: isotype of Etlingera frederikii A.D.Poulsen
Q193368	4b527a59-fbc8-444a-80f6-f882c3f92333: holotype of Odontocarya septemfida Barneby
Q193369	4b532b36-bb2d-4d6a-b3fd-8cb5d2566331: isotype of Stylidium monticola Lowrie & Kenneally
Q193370	4b5b0bef8f5cc7e9ed3aad186d8cf4ee: holotype of Malaxis hintonii Todzia
Q193371	4b5e9f44-6f2b-4014-a020-dc3735df110c: isotype of Nectandra pulverulenta Nees
Q193372	4b6100a2e42a058681470be415b12512: isotype of Simsia spooneri Panero & E.E.Schill.
Q193373	4b651e2d-e5c0-4544-8fe2-4d84337f48c7: holotype of Ormosia toledoana Standl.
Q193374	4b671075-8ae7-4e61-9419-da0fae422153: isotype of Cassinia diminuta Orchard
Q193375	4b6cdd80-8b4c-4f16-88fe-7aed5d338d29: isotype of Planchonella povilana Swenson & Munzinger
Q193376	4b6d0a7c-9ead-4e5c-8321-71746ccc02ef: holotype of Chrysochlamys clusiifolia Maguire
Q193377	4b6d23cd-3c6d-4bea-b4ac-0dc98f3b1d2c: holotype of Gastrolobium cruciatum G.Chandler & Crisp
Q193378	4b6dcbb8-ab4e-40c1-a6de-a8c21b435b8f: isotype of Hibbertia abyssa Wege & K.R.Thiele
Q193379	4b6e5a59-96d9-4ba3-8077-5c94cd6660f0: isotype of Echites rosanus Donn.Sm.
Q193380	4b74df66-c97d-41d1-91ad-83e8d1f71b89: isotype of Hyospathe elegans subsp. costaricensis A.J.Hend.
Q193381	4b7cad3b-5632-48ca-83ae-e2142a05a7f4: isotype of Clavija boliviensis Mez
Q193382	4b7cbe61-a7d9-4e1b-84fb-f77d9d4d0b0e: isotype of Eucalyptus baueriana subsp. thalassina Rule
Q193383	4b8010d23bfc7c030f66e7f5f6e6cdf0: holotype of Steviopsis nesomii B.L.Turner
Q193384	4b817291-8ec2-49cd-b277-280ea4bb2654: isotype of Dacryodes oblongipetala Daly & M.C.Martínez
Q193385	4b84c82f-0939-420b-a807-6b2739eea965: isotype of Polygala saccopetala R.A.Kerrigan
Q193386	4b852dad-8b31-4458-b17e-91c531f24cda: holotype of Dalea sousae Barneby
Q193387	4b86573e-748e-4129-ac1a-dfa27244be28: holotype of Swartzia huallagae D.R.Simpson
Q193388	4b87eb05-2e9b-44eb-9d3d-6b2df29a4e32: isotype of Jaltomata mionei S.Leiva & Quip.
Q193389	4b89822a-1350-44b7-800d-47f212b084a2: isotype of Indigofera magallanesii Cruz Durán & M.Sousa
Q193390	4b8e0c3b-ae1e-4c34-bfc4-f679ac6d1cd7: neotype of Coelia densiflora Rolfe
Q193391	4b910280-4f5f-44be-99b5-c257b239aa04: isotype of Hibbertia exponens Toelken
Q193392	4b92e5cf-7a23-4621-be43-3793e4e4f9d7: isotype of Pultenaea tarik de Kok
Q193393	4b9ca1f0-23a2-4138-9f83-01e988cb625d: isotype of Mimosa irrigua Barneby
Q193394	4b9e60299ce07c66c8351c2375b5a596: holotype of Rodriguezia dressleriana R.González
Q193395	4ba10a9b-f21e-423b-bfab-8fc110de605f: isotype of Cipura gigas Celis, Goldblatt & Betancur
Q193396	4ba23ac8-af5c-4dde-a91f-b92346a6d83f: holotype of Eleocharis debilis f. anomala S.González & Reznicek
Q193397	4ba2cb03-6b5d-4d78-9421-7f1f7902d457: isotype of Sicyos undara I.Telford & P.Sebastian
Q193398	4ba34d12-f9bd-4fcb-b47e-7f84530737c3: isotype of Pseudoxandra parvifolia Maas
Q193399	4ba6251e-f536-42dc-b480-e996c1e4510f: isotype of Sida picklesiana A.S.Markey, S.J.Dillon & R.M.Barker
Q193400	4ba63f25-f503-49d5-95c0-6b8716a6171f: holotype of Crusea wrightii var. angustifolia W.R.Anderson
Q193401	4badfdac-3596-4ffc-89e6-ef234de11890: holotype of Heliconia timothei L.Andersson
Q193402	4badff2f-8d43-4a68-98c6-5fadbd75f760: holotype of Philodendron borgesii G.S.Bunting
Q193403	4bb23b71-a005-42a3-9291-580fdba1cfc1: isotype of Strobilanthes chrysodelta J.R.I.Wood
Q193404	4bb3c973-77ff-4196-9c43-3c1c471fafa8: holotype of Polypodium arcanum var. septentrionale Mickel
Q193405	4bb6493b-9930-46b1-b346-6d32b4558a66: isotype of Eriosema rugosum M.Sousa & O.Téllez
Q193406	4bbb85c5-9e17-426d-baa7-4eb1b2b8ae94: isotype of Taraxacum wendtii H.Øllg.
Q193407	4bbc4616-4b69-4ee8-bccc-ae10952100f1: isotype of Goniothalamus rongklanus R.M.K.Saunders & Chalermglin
Q193408	4bc02400-2275-4063-b140-de1facf7faf0: isotype of Elaphandra bicornis Strother
Q193409	4bcdc001-02d2-43c5-8110-8ad6f8920650: holotype of Gynoxys congestiflora Sagást. & M.O.Dillon
Q193410	4bcf5210-d569-40fa-bb70-aebb139e4143: holotype of Thysanotus racemoides Sirisena, T.D.Macfarl. & Conran
Q193411	4bcfded7-6d7c-4eda-abbb-9f46c28f2154: holotype of Camellia elizabethae Orel & Curry
Q193412	4bd511f0-a8e3-4550-a491-ad8ca145ed2f: isotype of Eremophila youngii subsp. lepidota Chinnock
Q193413	4bd8da8d-eefc-40b4-a76d-d5475cfebf1f: isotype of Unonopsis esmeraldae Maas & Westra
Q193414	4bdab61e-c181-4719-bf16-73b7e2faabcb: isotype of Glinus sessiliflorus P.S.Short
Q193415	4bdc5ff1-3b14-4171-b546-b46190429b4f: isotype of Calliandra hirtiflora var. ripicola Barneby
Q193416	4be8dfe9-dbe2-4692-8f07-8eb1d371f39d: isotype of Kennedia coccinea subsp. esotera Lally
Q193417	4beaf223-e066-4ddc-b967-0a112bbc835a: isotype of Hibbertia eciliata Toelken
Q193418	4bece3ab-2380-4891-912f-739b3ab7187e: holotype of Eremophila paisleyi subsp. glandulosa Chinnock
Q193419	4bee080f-ea04-4c75-8f6e-a25ffe41c23a: isotype of Hiraea gracieana W.R.Anderson
Q193420	4bef29ac-9c55-41b3-9276-5527f4c5e611: isotype of Condalia thomasiana Fern.Alonso
Q193421	4bf824c9-d8ee-4b87-9e94-629fa0c9b708: isotype of Kayea meridionalis W.E.Cooper & Zich
Q193422	4c0181c9-af85-4774-9f15-3d7265487fe4: isotype of Rauvolfia gracilis I.Koch & Kin.-Gouv.
Q193423	4c048225-111b-497c-8a82-5c9f7937822d: holotype of Hymenoxys ambigens var. neomexicana W.L.Wagner
Q193424	4c05cea5-950d-4f41-9860-625968335014: isotype of Epidendrum hutchisonii Hágsater
Q193425	4c063523-bb2e-4747-82cc-8f31d4cbe3aa: isotype of Rhynchospora stiletto Naczi & Ciafré
Q193426	4c06b2762d309e843de10931e8c2a74b: holotype of Senecio grimesii B.L.Turner
Q193427	4c0785e4-e4a4-4fbc-9534-962afd080058: holotype of Eremophila cuneata Chinnock
Q193428	4c0a20ac-a85a-4a58-a1ba-0fc9954ba9ec: holotype of Gesneria yamuriensis Britton & P.Wilson
Q193429	4c0daf11-73b7-4ee9-8ed3-09f97e8207a7: isotype of Cassinia diminuta Orchard
Q193430	4c0e2ba2-cf45-4863-9267-153104feac69: holotype of Heliamphora heterodoxa var. exappendiculata Maguire & Steyerm.
Q193431	4c0ef4fb-5243-48b7-8822-a05b716e898f: holotype of Grammitis proctorii Copel.
Q193432	4c11fc6a-4aa6-4642-bb4a-ecb51416b2b0: isotype of Leucopogon squarrosus subsp. trigynus Hislop
Q193433	4c149843-5b18-4461-a5a7-32168578e20d: isotype of Spermacoce graniticola Harwood
Q193434	4c14f9ff-f167-49c4-aa38-5798522bc777: isotype of Spermacoce protrusa Harwood
Q193435	4c17648b-d352-4de4-b8ea-54d4d8fbba3c: isotype of Echites apocynifolius A.Gray
Q193436	4c186e13-efb6-4829-8d6d-fdc484c4cc5c: isotype of Zieria citriodora J.A.Armstr.
Q193437	4c259e8e-54c8-4d0d-b757-26d8d6ce42eb: isotype of Dipholis repens Urb. & Ekman
Q193438	4c271859-0210-42ce-962e-69cdd21740c7: isotype of Quercus iltisii L.M.González
Q193439	4c2afcfa-c79e-4fe9-9012-c00f597bbc8f: isotype of Disterigma trimerum Wilbur & Luteyn
Q193440	4c2f2132-8f5e-4b37-8eab-193adade84a0: isotype of Tetrazygia paralongicollis Judd, Ionta, Clase & Skean
Q193441	4c310255-12da-4c57-8bbf-03bc77e6beed: isotype of Licania ferreirae Prance
Q193442	4c313b8e-9fc9-4d11-add2-38242cb5ee20: isotype of Eucalyptus ligulata subsp. stirlingica D.Nicolle
Q193443	5246382: holotype of Petunia guarapuavensis T.Ando & Hashim.
Q193444	5246391: holotype of Solanum setosissimum Bitter ex L.A.Mentz & M.Nee
Q193445	5246403: isotype of Minasia ramosa Loeuille, H.Rob. & Semir
Q193446	5246404: holotype of Sida cabraliana Krapov.
Q193447	5246410: isotype of Chusquea windischii L.G.Clark
Q193448	5246411: holotype of Gomphrena riparia Pedersen
Q193449	5246421: holotype of Petunia interior T.Ando & Hashim.
Q193450	5246427: isotype of Vellozia tillandsioides Mello-Silva
Q193451	5246428: isotype of Vellozia armata Mello-Silva
Q193452	5246439: holotype of Declieuxia hatschbachii J.H.Kirkbr.
Q193453	5246440: holotype of Gomphrena hatschbachiana Pedersen
Q193454	5246447: isotype of Vellozia sessilis L.B.Sm. ex Mello-Silva
Q193455	5246476: isotype of Habenaria meeana Toscano
Q193456	5246487: isotype of Thelypteris paranaensis Salino
Q193457	5246490: isotype of Conchocarpus insignis Pirani
Q193458	5246491: isotype of Conchocarpus diadematus Pirani
Q193459	5246502: isotype of Conchocarpus concinnus Kallunki
Q193460	5246513: holotype of Petunia bajeensis T.Ando & Hashim.
Q193461	5246514: holotype of Petunia riograndensis T.Ando & Hashim.
Q193462	5246525: holotype of Deguelia hatschbachii A.M.G.Azevedo
Q193463	5246527: isotype of Duguetia chrysocarpa Maas
Q193464	5246528: isotype of Vellozia gigantea N.L.Menezes & Mello-Silva
Q193465	5246529: isotype of Vellozia auriculata Mello-Silva & N.L.Menezes
Q193466	5246555: isotype of Turnera purpurascens Arbo
Q193467	5246569: holotype of Poiretia mattogrossensis Cl.Müll.
Q193468	5246590: holotype of Poiretia crenata Cl.Müll.
Q193469	5246607: isotype of Marsdenia nana Rapini & Fontella
Q193470	5246678: holotype of Sinningia gerdtiana Chautems
Q193471	5246684: holotype of Lepidaploa scintillans Dematt. & D.Marques
Q193472	5246686: isotype of Solanum evolvuloides Giacomin & Stehmann
Q193473	5246687: holotype of Trembleya botaensis R.B.Pacifico & Fidanza
Q193474	5246688: holotype of Trembleya thomazii R.B.Pacifico & Fidanza
Q193475	5246715: isotype of Hymenaea fariana R.D.Ribeiro, D.B.O.S.Cardoso & H.C.Lima
Q193476	5246750: isotype of Microlicia ciliatoglandulosa R.Romero
Q193477	5246755: isotype of Matelea quindecimlobata Farinaccio & W.D.Stevens
Q193478	5246756: isotype of Schefflera plurifolia Fiaschi & Frodin
Q193479	5246757: isotype of Galipea carinata Pirani
Q193480	5246800: isotype of Encholirium agavoides Forzza & Zappi
Q193481	5246801: isotype of Encholirium ctenophyllum Forzza & Zappi
Q193482	5246817: holotype of Mascagnia affinis W.R.Anderson & C.Davis
Q193483	5246865: isotype of Calibrachoa irgangiana Stehmann
Q193484	5246866: isotype of Ocotea marumbiensis Brotto & Baitello
Q193485	5246874: isotype of Sida vallsii Krapov.
Q193486	5246876: isotype of Sida teresinensis Krapov.
Q193487	5246885: isotype of Calliandra paganuccii E.R.Souza
Q193488	5246886: isotype of Sauvagesia lagevianae D.B.O.S.Cardoso
Q193489	52475998-148d-427f-8cd2-e05bbf2aa4b7: isotype of Dendrophylax megarhizus Molgo & Carnevali
Q193490	52478c38-b620-4991-a40a-f747c54b7e4a: isotype of Pleiochiton amorimii Reginato & R.Goldenb.
Q193491	5249f7d0-66fa-40fd-9e63-a2256c602fcf: isotype of Pterosicyos laciniatus Brandegee
Q193492	524ab5ab-fed2-43c5-bd01-9d1a57aea5ed: isotype of Eucalyptus goniocalyx subsp. laxa Rule
Q193493	524b2142-113c-4fd5-b268-dd3d6404b3b0: isotype of Calothamnus quadrifidus subsp. seminudus A.S.George & N.Gibson
Q193494	524d33eb-83ae-4230-940d-95316e15904a: isotype of Tillandsia ignesiae Mez
Q193495	524d77e3-cbaf-4449-826f-adb25285c531: holotype of Epidendrum erythronioides Small
Q193496	524fd6a61c8fe10429db3153327d9a2e: holotype of Ficus albotomentosa Lundell
Q193497	5250749c-5adc-454d-9f1b-e18cbfcc3c8d: isotype of Hysterobaeckea setifera subsp. meridionalis Rye
Q193498	52507940-3712-4247-b13b-8326b1c2bc27: isotype of Cassinia aculeata subsp. nova-anglica Orchard
Q193499	5252ac5cda251f13af564659e52fde8b: isotype of Verbesina calzadae Panero & Villaseñor
Q193500	5252f348-d703-43b7-9c18-9cf237833efa: isotype of Polygala pterocarpa R.A.Kerrigan
Q193501	5253584: holotype of Xyris cervii E.D.Lozano & Wand.
Q193502	52562123eab5a3a1778d82600f5e711c: holotype of Manfreda paniculata L.Hern., R.A.Orellana & Carnevali
Q193503	52567b25-a8ad-44ad-b417-615280e27142: isotype of Tintinnabularia gratissima J.F.Morales
Q193504	5256964: isotype of Sacoila cerradicola Meneguzzo
Q193505	5257035: isotype of Encholirium diamantinum Forzza
Q193506	5258265: isotype of Chaetogastra cristaensis F.S.Mey. & R.Goldenb.
Q193507	5258609: isotype of Miconia valentinensis Bacci & R.Goldenb.
Q193508	5259380: isotype of Maytenus mucugensis Carv.-Okano ex Biral & Groppo
Q193509	525a8b70681ab5e3defb8e2fb8565289: holotype of Commelina ramosissima López-Ferr., Espejo & Ceja
Q193510	525fef07-0d4d-4633-a9ad-66a19eed7bb8: holotype of Goodenia cravenii R.L.Barrett & M.D.Barrett
Q193511	5260419: isotype of Hymenophyllum filmenofilicum Christenh. & Schwartsb.
Q193512	5260427: isotype of Vellozia semirii Mello-Silva & N.L.Menezes
Q193513	5260559: isotype of Marsdenia breviramosa Rapini & Fontella
Q193514	5260574: holotype of Ouratea hatschbachii K.Yamam.
Q193515	5260576: holotype of Passiflora junqueirae Imig & Cervi
Q193516	5263366: holotype of Serjania hatschbachii Ferrucci
Q193517	5263378: holotype of Cyrtopodium hatschbachii Pabst
Q193518	5263379: isotype of Oxalis cerradoana Lourteig
Q193519	5263383: holotype of Sida oblonga Bovini
Q193520	5263388: holotype of Xyris jataiana Kral & Wand.
Q193521	5263393: holotype of Pfaffia argyrea Pedersen
Q193522	5263395: holotype of Poiretia bahiana Cl.Müll.
Q193523	5263396: holotype of Janusia christianeae W.R.Anderson
Q193524	5263405: holotype of Phymatidium delicatulum var. curvisepalum Toscano
Q193525	5263406: holotype of Solanum gertii S.Knapp
Q193526	5263420: holotype of Picramnia oreadica subsp. penduliflora Pirani
Q193527	5263474: holotype of Panicum subtiliracemosum Renvoize
Q193528	5263481: holotype of Chaetocalyx subulatus Mackinder
Q193529	5263495: isotype of Piriqueta constellata Arbo
Q193530	5263507: holotype of Martinella insignis A.H.Gentry ex Zuntini & L.G.Lohmann
Q193541	52849464-8746-4963-8fc7-55a065ea3501: isotype of Miconia santanana Judd & Skean
Q193542	5285913: holotype of Sinningia ganevii Chautems & Mat.Perret
Q193543	5979956: holotype of Petunia riograndensis T.Ando & Hashim.
Q193544	5979958: holotype of Plinia nana Sobral
Q193545	5979981: isotype of Richterago riparia Roque
Q193546	5979982: isotype of Duguetia chrysocarpa Maas
Q193547	5979983: isotype of Vellozia auriculata Mello-Silva & N.L.Menezes
Q193548	597C0C58-C40A-4F7A-9D19-04E7E35C8642: holotype of Myoporum semotum Heenan & de Lange
Q193549	597a073f-e8ee-4106-bacf-bb8a7e3b0c4f: isotype of Verbesina barrancae M.Harker & N.Jiménez
Q193550	597cec92-755f-44d1-9ce1-5640030be84b: holotype of Ocotea mirecolorata C.K.Allen
Q193531	5265a92e-9bb0-43e2-9326-b8fb695afcd7: holotype of Hibbertia acrotoma K.R.Thiele
