fullname	ipni	authorship	taxonKey	taxonRank	rank
Rudgea sanblasensis C.M.Taylor	304518-2	C.M.Taylor	2910788	species	Q16
Rudgea spinigemma Zappi	77081374-1	Zappi	3847986	species	Q16
Rudgea tayloriae Aymard, Dorr & Cuello	318793-2	Aymard, Dorr & Cuello	2910564	species	Q16
Rudgea tenuifolia Müll.Arg.	298504-2	Müll.Arg.	2910732	species	Q16
Rudgea trifurcata Gómez-Laur.	284438-2	Gómez-Laur.	2910600	species	Q16
Rudgea yasuniana C.M.Taylor & Bruniera	77191291-1	C.M.Taylor & Bruniera	10807045	species	Q16
Ruehssia quirinopolensis I.L.Morais & F.Esp.Santo	77296018-1	I.L.Morais & F.Esp.Santo	11743779	species	Q16
Ruehssia sumiderensis Lozada-Pérez, Ram.-Mar. & Gonz.-Martínez	77210023-1	Lozada-Pérez, Ram.-Mar. & Gonz.-Martínez	10701014	species	Q16
Ruellia albiflora Fernald	284439-2	Fernald	5575484	species	Q16
Ruellia amapensis Wassh.	20011142-1	Wassh.	5575455	species	Q16
Ruellia anamariae A.S.Reis, A.Gil & Kameyama	77177701-1	A.S.Reis, A.Gil & Kameyama	9488201	species	Q16
Ruellia antiquorum Wassh. & J.R.I.Wood	60436022-2	Wassh. & J.R.I.Wood	5575365	species	Q16
Ruellia beckii Wassh. & J.R.I.Wood	60436023-2	Wassh. & J.R.I.Wood	5575215	species	Q16
Ruellia beniana J.R.I.Wood	77118659-1	J.R.I.Wood	7931328	species	Q16
Ruellia bolivarensis Wassh.	304563-2	Wassh.	5575136	species	Q16
Ruellia breedlovei T.F.Daniel	284441-2	T.F.Daniel	5575077	species	Q16
Ruellia capotyra Braz & I.H.F.Azevedo	77210804-1	Braz & I.H.F.Azevedo	10777367	species	Q16
Ruellia caroliniensis f. candida Fernald	318739-2	Fernald	5575021	form	Q19
Ruellia cedilloi Ramamoorthy	305538-2	Ramamoorthy	5574968	species	Q16
Ruellia ciliosa var. cinerascens Fernald	309287-2	Fernald	5574914	variety	Q18
Ruellia colonensis Wassh.	224088-2	Wassh.	5574888	species	Q16
Ruellia cordata Brandegee	224097-2	Brandegee	5574845	species	Q16
Ruellia curupira E.C.O.Chagas & Costa-Lima	77220340-1	E.C.O.Chagas & Costa-Lima	10864335	species	Q16
Ruellia cuyabensis Wassh.	77134777-1	Wassh.	7799935	species	Q16
Ruellia delascioi Wassh.	304993-2	Wassh.	5574806	species	Q16
Ruellia dolichosiphon Wassh. & J.R.I.Wood	60436025-2	Wassh. & J.R.I.Wood	5574707	species	Q16
Ruellia domatiata I.Darbysh. & E.A.Tripp	77159803-1	I.Darbysh. & E.A.Tripp	9789012	species	Q16
Ruellia epallocaulos Leonard ex C.Ezcurra & Wassh.	305437-2	Leonard ex C.Ezcurra & Wassh.	5574689	species	Q16
Ruellia exserta Wassh. & J.R.I.Wood	60436024-2	Wassh. & J.R.I.Wood	5574668	species	Q16
Ruellia gilva Wassh.	77134779-1	Wassh.	7830416	species	Q16
Ruellia glischrocalyx Lindau	224133-2	Lindau	5574493	species	Q16
Ruellia golfodulcensis Durkee	284443-2	Durkee	5574475	species	Q16
Ruellia guerrerensis T.F.Daniel	303899-2	T.F.Daniel	5574422	species	Q16
Ruellia haenkeana f. lutea Wassh. & J.R.I.Wood	60436066-2	Wassh. & J.R.I.Wood	5574416	form	Q19
Ruellia haenkeana f. purpurea Wassh. & J.R.I.Wood	60436067-2	Wassh. & J.R.I.Wood	5574414	form	Q19
Ruellia haenkeana var. pilosa Wassh. & J.R.I.Wood	60436065-2	Wassh. & J.R.I.Wood	5574415	variety	Q18
Ruellia holm-nielsenii Wassh.	77134778-1	Wassh.	8364640	species	Q16
