fullname	ipni	authorship	taxonKey	taxonRank	rank
Cordiera rugulata C.H.Perss. & Delprete	77175936-1	C.H.Perss. & Delprete	10772867	species	Q16
Cordiera stipulacea C.H.Perss. & Delprete	77175937-1	C.H.Perss. & Delprete	10675665	species	Q16
Cordiera tuberculata C.H.Perss. & Delprete	77175939-1	C.H.Perss. & Delprete	7907087	species	Q16
Cordisepalum phalanthopetalum Staples	77077675-1	Staples	3681359	species	Q16
Cordylanthus kingii subsp. densiflorus T.I.Chuang & Heckard	275092-2	T.I.Chuang & Heckard	5560571	subspecies	Q17
Cordylanthus orcuttianus A.Gray	65697-2	A.Gray	5414578	species	Q16
Cordylanthus tenuifolius Pennell	275100-2	Pennell	5560387	species	Q16
Coreopsis bakeri E.E.Schill.	77150600-1	E.E.Schill.	9294127	species	Q16
Coreopsis crawfordii Mesfin	318445-2	Mesfin	3133924	species	Q16
Coreopsis davilae Panero & Villaseñor	300402-2	Panero & Villaseñor	3133984	species	Q16
Coreopsis dentifolia Sánchez Vega, Sagást. & D.J.Crawford	302661-2	Sánchez Vega, Sagást. & D.J.Crawford	3133904	species	Q16
Coreopsis dilloniana Sánchez Vega, Sagást. & D.J.Crawford	304125-2	Sánchez Vega, Sagást. & D.J.Crawford	3133986	species	Q16
Coreopsis ferreyrae Sagást. & Sánchez Vega	60453754-2	Sagást. & Sánchez Vega	3133977	species	Q16
Coreopsis floridana E.B.Sm.	65803-2	E.B.Sm.	3133876	species	Q16
Coreopsis grandiflora var. inclinata J.R.Allison	321026-2|1021494-1	J.R.Allison	4207423	variety	Q18
Coreopsis grandiflora var. pilosa Sherff	65813-2	Sherff	6292741	variety	Q18
Coreopsis guanajuatensis B.L.Turner	305789-2	B.L.Turner	3134031	species	Q16
Coreopsis helleborifolia Sánchez Vega, Sagást. & D.J.Crawford	305980-2	Sánchez Vega, Sagást. & D.J.Crawford	3133906	species	Q16
Coreopsis mauiensis A.Gray	60453606-2	A.Gray	3133897	species	Q16
Coreopsis mutica var. guerreroana B.L.Turner	305921-2	B.L.Turner	4206806	variety	Q18
Coreopsis mutica var. miahuatlana B.L.Turner	305507-2	B.L.Turner	4206784	variety	Q18
Coreopsis oaxacensis B.L.Turner	302831-2	B.L.Turner	3133946	species	Q16
Coreopsis poloe Sagást. & Zapata	60437223-2	Sagást. & Zapata	3134024	species	Q16
Coreopsis pubescens Elliott	65900-2	Elliott	3134025	species	Q16
Coreopsis queretarensis B.L.Turner	275116-2	B.L.Turner	3134011	species	Q16
Corethamnium chocoensis R.M.King & H.Rob.	65954-2	R.M.King & H.Rob.	3091353	species	Q16
Corethrogyne californica DC.	309029-2	DC.	3118141	species	Q16
Corethrogyne californica var. lyonii S.F.Blake	65960-2	S.F.Blake	4255955	variety	Q18
Corethrogyne filaginifolia var. hamiltonensis D.D.Keck	65970-2	D.D.Keck	4255857	variety	Q18
Corethrogyne filaginifolia var. peirsonii M.L.Canby	65975-2	M.L.Canby	4255835	variety	Q18
Corethrogyne filaginifolia var. pinetorum I.M.Johnst.	65976-2	I.M.Johnst.	4255830	variety	Q18
Corethrogyne racemosa Greene	65991-2	Greene	3118148	species	Q16
Corethrogyne spathulata A.Gray	320941-2	A.Gray	3118151	species	Q16
Corispermum hookeri Mosyakin	303297-2	Mosyakin	6447944	species	Q16
Corispermum pacificum Mosyakin	300215-2	Mosyakin	3083970	species	Q16
Corispermum pallidum Mosyakin	303993-2	Mosyakin	3083969	species	Q16
Corispermum rechingeri Sukhor.	77098445-1	Sukhor.	3759219	species	Q16
Corispermum welshii Mosyakin	306038-2	Mosyakin	3083979	species	Q16
Cornuella venezuelanensis Pierre	308745-2	Pierre	2885671	species	Q16
Coronidium cymosum Paul G.Wilson	77092681-1	Paul G.Wilson	5705588	species	Q16
Coronidium densifolium J.M.Black ex N.G.Walsh	77138942-1	J.M.Black ex N.G.Walsh	9428039	species	Q16
Coronidium elatum subsp. minus Paul G.Wilson	77092692-1	Paul G.Wilson	5705586	subspecies	Q17
Coronidium elatum subsp. vellerosum Paul G.Wilson	77092691-1	Paul G.Wilson	5705585	subspecies	Q17
Coronidium flavum Paul G.Wilson	77092684-1	Paul G.Wilson	5705584	species	Q16
Coronidium fulvidum Paul G.Wilson	77092682-1	Paul G.Wilson	5705582	species	Q16
Coronidium kaputaricum Paul G.Wilson	77092688-1	Paul G.Wilson	5402565	species	Q16
Coronidium monticola N.G.Walsh	77138941-1	N.G.Walsh	9484379	species	Q16
Coronidium oxylepis subsp. lanatum Paul G.Wilson	77092679-1	Paul G.Wilson	5705556	subspecies	Q17
Coronidium telfordii Paul G.Wilson	77092693-1	Paul G.Wilson	5402570	species	Q16
Coronilla montserratii P.Fraga & Rosselló	77107881-1	P.Fraga & Rosselló	7494400	species	Q16
Coronilla talaverae Lahora & Sánchez-Gómez	77122084-1	Lahora & Sánchez-Gómez	10731296	species	Q16
Corrigiola palaestina Chaudhri	152875-1	Chaudhri	5576547	species	Q16
Corsia dispar D.L.Jones & B.Gray	77094954-1	D.L.Jones & B.Gray	3659530	species	Q16
Corunastylis anthracina D.L.Jones	77079863-1	D.L.Jones	3653225	species	Q16
Corunastylis carecta D.L.Jones & L.M.Copel.	77157717-1	D.L.Jones & L.M.Copel.	10944557	species	Q16
Corunastylis cornuta D.L.Jones	77090921-1	D.L.Jones	3653217	species	Q16
Corunastylis cuspidata D.L.Jones & L.M.Copel.	77174993-1	D.L.Jones & L.M.Copel.	10943679	species	Q16
Corunastylis stephensonii D.L.Jones	77129784-1	D.L.Jones	11023147	species	Q16
Corunastylis tenella D.L.Jones & L.M.Copel.	77157770-1	D.L.Jones & L.M.Copel.	10938647	species	Q16
Coryanthes bahiensis Marçal & Chiron	77136081-1	Marçal & Chiron	8309483	species	Q16
Coryanthes bueraremensis Campacci & Bohnke	60464410-2	Campacci & Bohnke	8047381	species	Q16
Coryanthes dasilvae F.Barros	20006235-1	F.Barros	2795688	species	Q16
Coryanthes hunteriana Schltr.	311763-2	Schltr.	2795653	species	Q16
Coryanthes kaiseriana G.Gerlach	329288-2	G.Gerlach	2795662	species	Q16
Coryanthes leferenziorum G.Gerlach, Senghas & Seeger	275138-2	G.Gerlach, Senghas & Seeger	2795709	species	Q16
Coryanthes maduroana G.Gerlach	60433702-2	G.Gerlach	2795674	species	Q16
Coryanthes misasii G.A.Romero & G.Gerlach	275139-2	G.A.Romero & G.Gerlach	2795661	species	Q16
Coryanthes mystax G.Gerlach & J.B.F.Silva	77104268-1	G.Gerlach & J.B.F.Silva	6315050	species	Q16
Coryanthes panamensis G.Gerlach	300002-2	G.Gerlach	2795697	species	Q16
Coryanthes villegasiana Peláez	60442598-2	Peláez	2795704	species	Q16
Coryanthes wenzeliana G.Gerlach & J.B.F.Silva	77104269-1	G.Gerlach & J.B.F.Silva	6315054	species	Q16
Corybas confusus Lehnebach	77157318-1	Lehnebach	9478386	species	Q16
Corybas dowlingii D.L.Jones	77061646-1	D.L.Jones	5307559	species	Q16
Corybas pignalii E.Faria	77159780-1	E.Faria	10672202	species	Q16
Corybas vitreus Lehnebach	77157325-1	Lehnebach	9288189	species	Q16
Corybas walliae Lehnebach	77157326-1	Lehnebach	9485061	species	Q16
Corydalis ampelos Lidén & Z.Y.Su	77097581-1	Lidén & Z.Y.Su	5531556	species	Q16
Corydalis amphipogon Lidén	77097570-1	Lidén	5531552	species	Q16
Corydalis anthocrene Lidén & Van De Veire	77090863-1	Lidén & Van De Veire	5531520	species	Q16
Corydalis auricilla Lidén & Z.Y.Su	77097544-1	Lidén & Z.Y.Su	5531411	species	Q16
Corydalis bosbutooensis Lazkov	77079993-1	Lazkov	5531249	species	Q16
Corydalis carinata Lidén & Z.Y.Su	77097552-1	Lidén & Z.Y.Su	5530991	species	Q16
Corydalis caseana A.Gray	66361-2	A.Gray	5334203	species	Q16
Corydalis cataractarum Lidén	77097564-1	Lidén	5530899	species	Q16
Corydalis dolichocentra Z.Y.Su & Lidén	77090088-1	Z.Y.Su & Lidén	5531993	species	Q16
Corydalis helodes Lidén & Van De Veire	77090865-1	Lidén & Van De Veire	5531472	species	Q16
Corydalis heterothylax C.Y.Wu ex Z.Y.Su & Lidén	77090095-1	C.Y.Wu ex Z.Y.Su & Lidén	5531381	species	Q16
Corydalis hongbashanensis Lidén & Y.W.Wang	77097550-1	Lidén & Y.W.Wang	5531353	species	Q16
Corydalis lathyrophylla subsp. dawuensis Lidén	77097554-1	Lidén	5530987	subspecies	Q17
Corydalis madida Lidén & Z.Y.Su	77090050-1	Lidén & Z.Y.Su	5530704	species	Q16
Corydalis microsperma Lidén	77097551-1	Lidén	5530546	species	Q16
Corydalis myriophylla Lidén	77097583-1	Lidén	5532075	species	Q16
Corydalis nubicola Z.Y.Su & Lidén	77090091-1	Z.Y.Su & Lidén	5531988	species	Q16
Corydalis panda Lidén & Y.W.Wang	77075777-1	Lidén & Y.W.Wang	5531860	species	Q16
Corydalis pterygopetala var. parviflora Lidén	77097543-1	Lidén	5531504	variety	Q18
Corydalis sarcolepis Lidén & Z.Y.Su	77090062-1	Lidén & Z.Y.Su	5531209	species	Q16
Corydalis stolonifera Lidén	77097561-1	Lidén	5530895	species	Q16
Corydalis susannae Lidén	77097562-1	Lidén	5530826	species	Q16
Corydalis suzhiyunii Lidén	77097567-1	Lidén	5530816	species	Q16
Corymbia cadophora subsp. polychroma R.L.Barrett	77090590-1	R.L.Barrett	5418357	subspecies	Q17
Corymborkis harlingii Szlach. & Kolan.	77174017-1	Szlach. & Kolan.	10885665	species	Q16
Corynandra elegans Chandore, U.S.Yadav & S.R.Yadav	77154818-1	Chandore, U.S.Yadav & S.R.Yadav	8833159	species	Q16
Corynella gracilis Griseb.	302060-2	Griseb.	5358168	species	Q16
Corynella immarginata C.Wright	309168-2	C.Wright	5358161	species	Q16
Corynopuntia deinacantha D.Donati	77163857-1	D.Donati	10746803	species	Q16
Corypha palmetto Walter	275144-2	Walter	5293280	species	Q16
Coryphantha bernalensis L.Bremer	66509-2	L.Bremer	3957110	species	Q16
Coryphantha cuencamensis L.Bremer	66532-2	L.Bremer	3956756	species	Q16
Coryphantha indensis L.Bremer	66559-2	L.Bremer	3956263	species	Q16
Coryphantha laui L.Bremer	66564-2	L.Bremer	3956132	species	Q16
Coryphantha maliterrarum L.Bremer	66569-2	L.Bremer	3956018	species	Q16
Coryphantha pusilliflora L.Bremer	66604-2	L.Bremer	3955438	species	Q16
Coryphantha runyonii Britton & Rose	66628-2	Britton & Rose	3955084	species	Q16
Corysanthes arcana D.L.Jones	77203823-1	D.L.Jones	10709686	species	Q16
Corysanthes grumula D.L.Jones	77090922-1	D.L.Jones	6315072	species	Q16
Corysanthes heberlei D.L.Jones	77203825-1	D.L.Jones	10805702	species	Q16
Corysanthes intuta D.L.Jones	77203826-1	D.L.Jones	10818210	species	Q16
Corysanthes longituba D.L.Jones & L.M.Copel.	77194606-1	D.L.Jones & L.M.Copel.	12246369	species	Q16
Corythophora rimosa subsp. rubra S.A.Mori	275152-2	S.A.Mori	5383885	subspecies	Q17
Corytoplectus longipedunculatus Rodr.-Flores & L.E.Skog	77097980-1	Rodr.-Flores & L.E.Skog	3821668	species	Q16
Corytoplectus oaxacensis Ram.-Roa, C.Chávez & Rodr.-Flores	60453518-2	Ram.-Roa, C.Chávez & Rodr.-Flores	6070499	species	Q16
Corytoplectus purpuratus Rodr.-Flores & L.E.Skog	77097982-1	Rodr.-Flores & L.E.Skog	3821643	species	Q16
Corytoplectus speciosus var. orbicularis Rodr.-Flores & L.E.Skog	77097983-1	Rodr.-Flores & L.E.Skog	3821588	variety	Q18
Cosmos diversifolius var. deficiens Sherff	275155-2	Sherff	4254989	variety	Q18
Cosmos juxtlahuacensis Panero & Villaseñor	303147-2	Panero & Villaseñor	3098961	species	Q16
Cosmos ocellatus Greenm.	275157-2	Greenm.	3106486	species	Q16
Cosmos pacificus var. chiapensis Melchert	275158-2	Melchert	4254779	variety	Q18
Cosmos pseudoperfoliatus Art.Castro, M.Harker & Aarón Rodr.	77134634-1	Art.Castro, M.Harker & Aarón Rodr.	9448961	species	Q16
Cosmos stellatus Sherff	275160-2	Sherff	4254582	species	Q16
Costularia andringitrensis Larridon	77194632-1	Larridon	10836123	species	Q16
Costularia itremoensis Larridon	77194637-1	Larridon	10854806	species	Q16
Costus acutissimus Maas & H.Maas	77159866-1	Maas & H.Maas	8916855	species	Q16
Costus albiflos Maas & H.Maas	77159868-1	Maas & H.Maas	8980041	species	Q16
Costus allenii Maas	66816-2	Maas	2756810	species	Q16
Costus atlanticus E.M.Pessoa & M.Alves	77210373-1	E.M.Pessoa & M.Alves	10738898	species	Q16
Costus beckii Maas & H.Maas	275162-2	Maas & H.Maas	2756900	species	Q16
Costus chartaceus Maas	66828-2	Maas	2756772	species	Q16
Costus cupreifolius Maas	66836-2	Maas	2756917	species	Q16
Costus fissicalyx N.R.Salinas, Clavijo & Betancur	77096013-1	N.R.Salinas, Clavijo & Betancur	3649000	species	Q16
Costus fragilis Maas	66849-2	Maas	2757033	species	Q16
Costus juruanus var. strigosus Maas	66861-2	Maas	2756809	variety	Q18
Costus kupensis Maas & H.Maas	77160008-1	Maas & H.Maas	10856503	species	Q16
Costus lilaceus Maas & H.Maas	77160009-1	Maas & H.Maas	9210055	species	Q16
Costus louisii H.Maas & Maas	77160010-1	H.Maas & Maas	8746445	species	Q16
Costus montanus Maas	66881-2	Maas	2756970	species	Q16
Costus quasi-appendiculatus Woodson ex Maas	66901-2	Woodson ex Maas	2756972	species	Q16
Costus sprucei Maas	66917-2	Maas	2756957	species	Q16
Costus uniflorus Poepp. ex Petersen	66925-2	Poepp. ex Petersen	2757046	species	Q16
Costus woodsonii Maas	66932-2	Maas	2756950	species	Q16
Cotoneaster alashanensis J.Fryer & B.Hylmö	60452142-2	J.Fryer & B.Hylmö	3026026	species	Q16
Cotoneaster altaicus J.Fryer & B.Hylmö	60452143-2	J.Fryer & B.Hylmö	3025977	species	Q16
Cotoneaster atrovirens J.Fryer & B.Hylmö	60452146-2	J.Fryer & B.Hylmö	3025934	species	Q16
Cotoneaster aurantiacus J.Fryer & B.Hylmö	60452148-2	J.Fryer & B.Hylmö	3025911	species	Q16
Cotoneaster cinovskisii J.Fryer & B.Hylmö	60452158-2	J.Fryer & B.Hylmö	3025778	species	Q16
Cotoneaster creticus J.Fryer & B.Hylmö	60452161-2	J.Fryer & B.Hylmö	3026335	species	Q16
Cotoneaster declinatus J.Fryer & B.Hylmö	77100287-1	J.Fryer & B.Hylmö	3026206	species	Q16
Cotoneaster drogochius J.Fryer & B.Hylmö	60452164-2	J.Fryer & B.Hylmö	3026165	species	Q16
Cotoneaster floridus J.Fryer & B.Hylmö	77099492-1	J.Fryer & B.Hylmö	3026008	species	Q16
Cotoneaster hajastanicus Nersesian	77140237-1	Nersesian	7997367	species	Q16
Cotoneaster majoricensis L.Sáez & Rosselló	77124012-1	L.Sáez & Rosselló	8224756	species	Q16
Cotoneaster naninitens J.Fryer & B.Hylmö	60452186-2	J.Fryer & B.Hylmö	3025963	species	Q16
Cotoneaster nantouensis J.Fryer & B.Hylmö	60452187-2	J.Fryer & B.Hylmö	3026090	species	Q16
Cotoneaster narynensis Tkatsch. ex J.Fryer & B.Hylmö	60452189-2	Tkatsch. ex J.Fryer & B.Hylmö	3025990	species	Q16
Cotoneaster spongbergii J.Fryer & B.Hylmö	60452195-2	J.Fryer & B.Hylmö	3025826	species	Q16
Cotoneaster svenhedinii J.Fryer & B.Hylmö	60452196-2	J.Fryer & B.Hylmö	3026063	species	Q16
Cotoneaster taiwanensis J.Fryer & B.Hylmö	60452197-2	J.Fryer & B.Hylmö	3025652	species	Q16
Cotoneaster zangezuricus Nersesian	77138820-1	Nersesian	7692545	species	Q16
Cottendorfia arachnoidea L.B.Sm., Steyerm. & H.Rob.	275165-2	L.B.Sm., Steyerm. & H.Rob.	2693583	species	Q16
Cottendorfia atrorosea L.B.Sm., Steyerm. & H.Rob.	275166-2|66948-2	L.B.Sm., Steyerm. & H.Rob.	2693616	species	Q16
Cottendorfia brachyphylla var. angustior L.B.Sm., Steyerm. & H.Rob.	275167-2|66950-2	L.B.Sm., Steyerm. & H.Rob.	2693559	variety	Q18
Cottendorfia geniculata var. minor L.B.Sm., Steyerm. & H.Rob.	275171-2	L.B.Sm., Steyerm. & H.Rob.	2693577	variety	Q18
Cottendorfia lateralis L.B.Sm. & Read	66957-2|275173-2	L.B.Sm. & Read	2693588	species	Q16
Cottendorfia marahuacae L.B.Sm., Steyerm. & H.Rob.	275175-2	L.B.Sm., Steyerm. & H.Rob.	2693592	species	Q16
Cotula fallax D.J.N.Hind	77078150-1	D.J.N.Hind	4254016	species	Q16
Cotula viscosa L.	88872-2	L.	3118722	species	Q16
Couepia belemii Prance	67124-2	Prance	2984836	species	Q16
Couepia bernardii Prance	67125-2	Prance	2984838	species	Q16
Couepia bondarii Prance	67126-2	Prance	2984799	species	Q16
Couepia coarctata Prance	275182-2	Prance	2984793	species	Q16
Couepia cognata var. major Prance	67134-2	Prance	3745369	variety	Q18
Couepia cognata var. membranacea Prance	67135-2	Prance	3745365	variety	Q18
Couepia divaricata Huber	67137-2	Huber	7335156	species	Q16
Couepia dolichopoda Prance	67140-2	Prance	2984822	species	Q16
Couepia foveolata Prance	67148-2	Prance	2984807	species	Q16
Couepia glabra Prance	67150-2	Prance	2984772	species	Q16
Couepia habrantha Standl.	67157-2	Standl.	2984853	species	Q16
Couepia hallwachsiae D.Santam. & Lagom.	77150834-1	D.Santam. & Lagom.	8784468	species	Q16
Couepia hondurasensis Prance	318262-2	Prance	2984839	species	Q16
Couepia janzenii D.Santam. & Lagom.	77150835-1	D.Santam. & Lagom.	9214504	species	Q16
Couepia joaquinae Prance	275183-2|274811-2	Prance	2984860	species	Q16
Couepia leitaofilhoi Prance	318261-2|1008133-1	Prance	2984826	species	Q16
Couepia maguirei Prance	67164-2	Prance	2984868	species	Q16
Couepia martinii Prance	67166-2	Prance	2984821	species	Q16
Couepia meridionalis Prance	67167-2	Prance	2984820	species	Q16
Couepia monteclarensis Prance	275184-2	Prance	2984828	species	Q16
Couepia morii Prance	306441-2	Prance	2984808	species	Q16
Couepia nutans Prance	67169-2	Prance	2984852	species	Q16
Couepia osaensis Aguilar & D.Santam.	77140578-1	Aguilar & D.Santam.	8928847	species	Q16
Couepia panamensis Standl.	275185-2	Standl.	2984749	species	Q16
Couepia paraensis subsp. cerradoana Prance	67172-2	Prance	3745525	subspecies	Q17
Couepia parvifolia Prance	67175-2	Prance	2984824	species	Q16
Couepia rankiniae Prance	303322-2	Prance	2984835	species	Q16
Couepia recurva Spruce ex Prance	67180-2	Spruce ex Prance	8121958	species	Q16
Couepia sandwithii Prance	67185-2	Prance	2984851	species	Q16
Couepia scottmorii Prance	275186-2	Prance	2984840	species	Q16
Couepia venosa Prance	67195-2	Prance	2984817	species	Q16
Couratari asterophora Rizzini	67247-2	Rizzini	3083107	species	Q16
Couratari asterotricha Prance	67248-2	Prance	3083135	species	Q16
Couratari pedicellaris Rizzini	67268-2	Rizzini	3082575	species	Q16
Couratari sandwithii Prance	67274-2	Prance	3083140	species	Q16
Couratari stellulata Rizzini	67277-2	Rizzini	3083122	species	Q16
Coursetia apantensis M.Sousa	275189-2	M.Sousa	2959387	species	Q16
Coursetia brachyrhachis Harms	275192-2	Harms	2959260	species	Q16
Coursetia cajamarcana Lavin	275193-2	Lavin	2959255	species	Q16
Coursetia caribaea var. tomentosa Lavin	275200-2	Lavin	2959318	variety	Q18
Coursetia chiapensis Lavin & M.Sousa	303416-2	Lavin & M.Sousa	2959356	species	Q16
Coursetia gracilis Lavin	275205-2	Lavin	2959256	species	Q16
Coursetia guatemalensis Rudd	67305-2	Rudd	2959246	species	Q16
Coursetia hintonii Rudd	67308-2	Rudd	2959372	species	Q16
Coursetia intermontana Lavin	275211-2	Lavin	2959359	species	Q16
Coursetia mexicana S.Watson	67311-2	S.Watson	2969077	species	Q16
Coursetia microphylla A.Gray	275213-2	A.Gray	2959392	species	Q16
Coursetia paucifoliolata M.Sousa	275216-2	M.Sousa	2959355	species	Q16
Coursetia polyphylla var. breviloba M.Sousa & Lavin	275218-2	M.Sousa & Lavin	2959346	variety	Q18
Coussapoa david-smithii C.C.Berg	303196-2	C.C.Berg	4013669	species	Q16
Coussapoa glaberrima W.C.Burger	67350-2	W.C.Burger	4013532	species	Q16
Coussapoa villosa subsp. polycephala C.C.Berg	305624-2	C.C.Berg	4013504	subspecies	Q17
Coussarea acrensis C.M.Taylor	60473371-2	C.M.Taylor	8740440	species	Q16
Coussarea amplifolia C.M.Taylor	319914-2	C.M.Taylor	2904868	species	Q16
Coussarea andrei M.S.Pereira & M.R.V.Barbosa	77120317-1	M.S.Pereira & M.R.V.Barbosa	8317524	species	Q16
Coussarea antioquiana C.M.Taylor	321109-2	C.M.Taylor	2904757	species	Q16
Coussarea bocainae M.Gomes	329123-2	M.Gomes	2904871	species	Q16
Coussarea boliviensis C.M.Taylor	77147799-1	C.M.Taylor	9017575	species	Q16
Coussarea brevipedunculata C.M.Taylor	321110-2	C.M.Taylor	2904806	species	Q16
Coussarea camposiana C.M.Taylor	77147800-1	C.M.Taylor	8862052	species	Q16
Coussarea cephaeloides C.M.Taylor	319915-2	C.M.Taylor	2904910	species	Q16
Coussarea duplex C.M.Taylor	321111-2	C.M.Taylor	2904886	species	Q16
Coussarea durifolia Dwyer	67411-2	Dwyer	2904856	species	Q16
Coussarea ecuadorensis C.M.Taylor	319917-2	C.M.Taylor	2904829	species	Q16
Coussarea evoluta Steyerm.	275226-2	Steyerm.	2904763	species	Q16
Coussarea granvillei Delprete & B.M.Boom	319212-2	Delprete & B.M.Boom	2904761	species	Q16
Coussarea hallei Steyerm.	67418-2	Steyerm.	2904740	species	Q16
Coussarea imitans L.O.Williams	67353-2	L.O.Williams	2904787	species	Q16
Coussarea linearis C.M.Taylor	301404-2	C.M.Taylor	2904821	species	Q16
Coussarea loftonii subsp. calimana C.M.Taylor	318835-2	C.M.Taylor	2904781	subspecies	Q17
Coussarea loftonii subsp. occidentalis C.M.Taylor	321114-2	C.M.Taylor	2904780	subspecies	Q17
Coussarea longilaciniata Delprete	77076717-1	Delprete	3847781	species	Q16
Coussarea maranonensis C.M.Taylor	77147802-1	C.M.Taylor	8752983	species	Q16
Coussarea mexiae C.M.Taylor	77147803-1	C.M.Taylor	9133592	species	Q16
Coussarea pilosula C.M.Taylor	319918-2	C.M.Taylor	2904760	species	Q16
Coussarea pseudopilosula C.M.Taylor	77147805-1	C.M.Taylor	9026057	species	Q16
Coussarea psychotrioides C.M.Taylor & Hammel	304698-2	C.M.Taylor & Hammel	2904843	species	Q16
Coussarea resinosa C.M.Taylor	319919-2	C.M.Taylor	2904824	species	Q16
Coussarea sancti-ciprianii C.M.Taylor	318836-2	C.M.Taylor	2904932	species	Q16
Coussarea spicata Delprete	77076718-1	Delprete	3847688	species	Q16
Coussarea spiciformis C.M.Taylor	319920-2	C.M.Taylor	2904773	species	Q16
Coussarea vasqueziana C.M.Taylor	77147817-1	C.M.Taylor	8863680	species	Q16
Coussarea veraguensis Dwyer	67483-2	Dwyer	2904934	species	Q16
Coutarea coutaportloides C.M.Taylor	77106785-1	C.M.Taylor	6288745	species	Q16
Cowania stansburyana Torr.	67531-2|275232-2	Torr.	5598086	species	Q16
Crabbea albolutea Thulin	77078085-1	Thulin	5574132	species	Q16
Crabbea pinnatifida Thulin	77078084-1	Thulin	5574088	species	Q16
Cracca corallicola Small	67565-2	Small	5341951	species	Q16
Cracca edwardsii var. glabella A.Gray	275235-2	A.Gray	5354859	variety	Q18
Cracca edwardsii var. sericea A.Gray	275236-2	A.Gray	5354850	variety	Q18
Craibella phuyensis R.M.K.Saunders, Y.C.F.Su & Chalermglin	330385-2	R.M.K.Saunders, Y.C.F.Su & Chalermglin	3154856	species	Q16
Cranichis cochleata Dressler	315768-2	Dressler	2789737	species	Q16
Cranichis juajibioyi Szlach. & Kolan.	77199264-1	Szlach. & Kolan.	10886431	species	Q16
Cranichis killipii Szlach. & Kolan.	77199263-1	Szlach. & Kolan.	10737398	species	Q16
Cranichis neglecta Szlach. & Kolan.	77199265-1	Szlach. & Kolan.	10762195	species	Q16
Cranichis notata Dressler	1001726-1|315769-2	Dressler	2789779	species	Q16
Cranichis pennellii Szlach. & Kolan.	77199268-1	Szlach. & Kolan.	10861748	species	Q16
Cranichis popayanensis Szlach. & Kolan.	77199271-1	Szlach. & Kolan.	10763097	species	Q16
Cranichis pulvinifera Garay	67690-2	Garay	2789802	species	Q16
Cranichis roldanii Szlach. & Kolan.	77199260-1	Szlach. & Kolan.	10777986	species	Q16
Cranichis schultesii Szlach. & Kolan.	77199261-1	Szlach. & Kolan.	10845968	species	Q16
Cranichis talamancana Dressler	315770-2	Dressler	2789784	species	Q16
Cranichis werffii Garay	67700-2	Garay	2789723	species	Q16
Cranichis zarucchii Szlach. & Kolan.	77128876-1	Szlach. & Kolan.	9008506	species	Q16
Craspedia adenophora K.L.McDougall & N.G.Walsh	77091419-1	K.L.McDougall & N.G.Walsh	5389201	species	Q16
Craspedia basaltica J.Everett ex N.G.Walsh	77219532-1	J.Everett ex N.G.Walsh	7978779	species	Q16
Craspedia cynurica Rozefelds & A.M.Buchanan	77112614-1	Rozefelds & A.M.Buchanan	8976568	species	Q16
Craspedia preminghana Rozefelds	20007258-1	Rozefelds	5389202	species	Q16
Craspedia rosulata Rozefelds & A.M.Buchanan	77112615-1	Rozefelds & A.M.Buchanan	9394722	species	Q16
Crassula ankaratrensis Desc.	77085602-1	Desc.	5689675	species	Q16
Crassula colligata subsp. lamprosperma Toelken	20009987-1	Toelken	8280228	subspecies	Q17
Crassula micans var. vavarana Desc.	77085604-1	Desc.	5688082	variety	Q18
Crataegus aboriginum Sarg.	275254-2|67799-2	Sarg.	3015887	species	Q16
Crataegus annosa Beadle	67858-2	Beadle	3014404	species	Q16
Crataegus atrovirens J.B.Phipps & O'Kennon	323996-2|20010134-1	J.B.Phipps & O'Kennon	3015794	species	Q16
Crataegus baroussana Eggl.	67911-2	Eggl.	3015037	species	Q16
Crataegus baroussana var. jamensis J.B.Phipps	314987-2	J.B.Phipps	3015038	variety	Q18
Crataegus castlegarensis J.B.Phipps & O'Kennon	20010129-1|323991-2	J.B.Phipps & O'Kennon	3016092	species	Q16
Crataegus collina Chapm.	68049-2	Chapm.	3013545	species	Q16
Crataegus cupressocollina J.B.Phipps & O'Kennon	77095416-1	J.B.Phipps & O'Kennon	3013792	species	Q16
Crataegus cuprina J.B.Phipps	314988-2	J.B.Phipps	3014660	species	Q16
Crataegus cyclophylla Sarg.	68151-2	Sarg.	3014303	species	Q16
Crataegus egglestonii Sarg.	68243-2	Sarg.	3014518	species	Q16
Crataegus enderbyensis J.B.Phipps & O'Kennon	20010132-1|323994-2	J.B.Phipps & O'Kennon	3015907	species	Q16
Crataegus grandifolia J.B.Phipps	314991-2	J.B.Phipps	3016123	species	Q16
Crataegus grandifolia var. potosina J.B.Phipps	314992-2	J.B.Phipps	3016124	variety	Q18
Crataegus greggiana Eggl.	68373-2	Eggl.	3014607	species	Q16
Crataegus greggiana var. pepo J.B.Phipps	314985-2	J.B.Phipps	3014608	variety	Q18
Crataegus gregorianii Gabrieljan & Sargsyan	77297773-1	Gabrieljan & Sargsyan	11490601	species	Q16
Crataegus johnstonii J.B.Phipps	314989-2	J.B.Phipps	3014322	species	Q16
Crataegus lancei J.B.Phipps	77099754-1	J.B.Phipps	3015698	species	Q16
Crataegus microphylla subsp. malyana K.I.Chr. & Janjic	77076934-1	K.I.Chr. & Janjic	3015545	subspecies	Q17
